Code,Q,interviewer,interviewee
p12,4,Interviewer: Ok great. What about  can you tell me about a time you worked on a team  and you had a conflict or challenge  and how you went about solving that.,Interviewee: Ok ummm  not going to use the lifeguard example again.
p12,4,Interviewer: Can you be more specific?,Interviewee: Uhhhh in high school we would have to work on team projects a lot  ummm I don't know in history class or that kind of a thing  work  working with projects. And sometimes we'd have kids who wouldn't do their home- do  you know their part on time  or people who didn't like they  what they were doing. There was one specific time where we had a conflict where one girl just decided she didn't really want to do you know any of the  any of the project  she wasn't really showing up to class  wasn't doing any of the  any of the stuff she had to so we had to talk to her  and figure out what was going on and kind of resolve the conflict in that way.
p12,4,Interviewer: Like  you  you just spoke with her?,Interviewee: In what way? Like -
p12,4,Interviewer: Oh ok  ok. Ok  ok.,Interviewee: Yeah. So I mean us as a group we met with the teacher umm and told her what was happening. And then The next  the next day when the girl came to class we  you know sat her down  asked her why she wasn't doing the homework. Whatever  that kind of stuff. But it was  it was just a case of high school kids not wanting to do anything. So (laughs).
p12,5,Interviewer: Right  ok. Can you tell me one of your weaknesses  and what you're doing to overcome it?,Interviewee: Ok ummm  I have a really bad habit of trying to do everything all at once  and I sometimes put too much on my plate. And I recognize that you have to delegate tasks in a group or tell someone when they've given you too much to do. So I think it's kind of  in terms of how I'm trying to improve that  is be realistic with myself on the amount of time I have or what my skills are. And if I need help ask for it or if I need someone to do part of it  ask for it. And early on  not the day before something has to be done  tell them that it's not going to happen.
p12,6,Interviewer: And last question - why do you think we should hire you?,Interviewee: Ummmm I think you should hire me because your company  ummm is a great  would be a great opportunity for me to learn and improve as an Engineer umm and I think I could just add a lot to the team in general in terms of like  like my wide interests  and  and education background.
p13,1,Interviewer: How are you doing today?,Interviewee: Good.
p13,2,Interviewer: Good. So  why don't you tell me about yourself?,Interviewee: Ok  umm  I'm currently a junior at M.I.T. studying electrical engineering and computer science. Umm  I first became interested in engineering in high school  I guess  when I worked in a lab at  a material science lab  at U.C. Berkley. Umm  and since then I've worked at a variety of different places including labs and at  uh  and in the industry including electrical engineering labs here  and at Standford  and umm Promex Industries  which is a chip packaging company in the silicon valley.
p13,3,Interviewer: So  tell me about a time you demonstrated leadership.,Interviewee: Umm  in high school I was part of the school orchestra and I played bassoon. I was the principle bassoon there. So  that means I was in charge of the bassoon section. So basically  umm  I ran extra  I ran practices for  within our section outside of  uh   when the orchestra would get together and practice.
p13,3,Interviewer: Mm Hm.,Interviewee: I coordinated that. I also  uh  set up events between the woodwind sections to  uh you know  so people would get to know each other and  you know  we could practice together and things like that.
p13,4,Interviewer: Great. Ok. Tell me about time you were working on a team and faced a challenge. How did you solve that problem?,Interviewee: Umm  this past summer I worked in Spain. Umm  in operations research and I was part of a research group there. Umm  it was  so  we had  uh  within our team  it was  communicating with each other was the biggest challenge because my Spanish isn't so great and their English wasn't so great.
p13,4,Interviewer: Mm hm.,Interviewee: So  umm  what we ended  we basically communicated through like  the papers  through the papers we read  umm  we  well  one thing that helped was  we both got  like everyone  they got better at speaking English  I got better at understanding them. I guess they got better at understanding my Spanish also. So  we were able to communicate by just  you know  talking really slowly  repeating everything a couple times. Umm  we also did a lot of technical things and so those were mostly related to technical papers and things like that. Those were written mostly in English  so that was  that wasn't so much of a problem for me...but...it made it  because they were working in the area already and I was new to the area  looking through these made it easier for me to understand what my role was  what I was supposed to do. Umm  things like that.
p13,5,Interviewer: Ok  great.  Can you tell me about one of your weaknesses and what you were doing to overcome it?,Interviewee: umm  well  one thing right now is that I can get really hung up on small details and  uh  it becomes a problem because its  it can be distracting and cause me to lose sight of  like  the big picture. But since coming to M.I.T. I've been  I've been involved in a lot of classes  a lot of activites and things and that's forced me to manage my time better.  So  now that  uh  like  I have  because I have a lot of time constraints  I'm forced to finish a project or assignment or whatever  and I can't  I can't get caught up in  like  little things that don't ultimately make a big a difference. So  um  by being forced to manage my time more  I'm  uh  overcoming this problem.
p13,6,Interviewer: Great  ok. So  why do you think we should hire you?,Interviewee: Well  I have the  I have the quantitative and qualitative skills necessary to accomplish  uh  accomplish project goals and get things done. Uh  I can solve problems and  and can work pretty well in a team.
p13,6,Interviewer: Ok,Interviewee: I'm also very interested in what this company does  and  um  I'd really like to work there.
p14,1,Interviewer: So  how are you doing today,Interviewee: Good  how are you?
p14,2,Interviewer: Good. Tell me about yourself.,Interviewee: I'm a student at MIT and Im a junior right now but I'm probably gonna graduate this year.  So  uh  that's kind of exciting at scary at the same time.  Uh  like I said I'm a computer science major so some of the stuff that I'm interested in is computational photography and a lot of graphic stuff.  I've got a bunch of experience with web development mainly  uh front end development so that's uh  I guess where a lot of my experience lies.  
p14,3,Interviewer: Great.  Tell me about a time that you demonstrated leadership.,Interviewee: Um  so I was  a member of the Society of Women Engineers and with the Graduate Students Association of MIT and the senior class  they run the fall career fair which is the only career fair in the fall and it's the biggest at MIT.  I was actually the publicity chair for that.  So  it involves you know  interfacing  you know  with over 230 companies and dealing with not only making the guide book and making sure all of the information is readily available to students but also publicizing individual info sessions and obviously the career fair itself.  SO  um  it definitely was a lot of responsibility and not only did I have to become a leader for the Society of Women Engineers but also fora leader for this smaller team of seven people that ran the career fair itself.  
p14,4,Interviewer: Great.  Alright.  Tell me about a time when you were working on a team and you faced a challenge.  How did you overcome that problem.  ,Interviewee:  Well  I...so  for one of my classes  we have to  it's a software design class where you have to work with other students.  So  I was assigned two teammates randomly and we had one teammate who really wasn't pulling their weight and wasn't contributing in a way that was you know  fair and even  and so what we ended up doing is  we all thankfully were able to sit down and talk.  We were able to get a hold of her and we realized it was because we were dividing the work in a way that made it really difficult for her  it was not playing off her strengths.  So  we redistributed the work and she was able to do things that were still helpful but played more to her strengths.  
p14,5,Interviewer: Great.  Okay.  Tell me one of your weaknesses and what you're doing to overcome it. ,Interviewee:  Um  I think one of my weaknesses is I'm a perfectionist so when I do work on teams I have trouble sometimes delegating tasks because I want to micromanage and make sure everything is just the way it is.  But what I've done to overcome that is basically just sort of familiarized myself with how to um  like  say no to a task and just kind of  I guess  modualize [sic] projects more.  So  I think I had trouble when I was always thinking big picture and then I would want to look at every single detail i that big picture.  But if I just give myself one part of the project and just  you know  divide it into different modules in my head then I'm able to just  you know  perfect my one part but not so much focus on every little detail.
p14,6,Interviewer: Okay.  And why do you think we should hire you?,Interviewee: Uh  I think that my skill set is pretty unique because I'm both technical and also well-spoken and I'd be able to communicate really well.  And I think it's a unique combination to have both of those skills.
p15,1,Interviewer: Okay so how are you doing today? ,Interviewee: I'm doing fine uh  thank you how about you? Um  have you like you know um  the storm  I hope that hasn't like disturbed any power too much. 
p15,1,Interviewer: No actually it was fine I was expecting it to be a lot worse. I think a lot of people were a lot worse off than I was. ,Interviewee: Oh yeah. I mean Boston didn't get hit too bad so. 
p15,1,Interviewer: Mm-hm. ,Interviewee: That's at least very fortunate. 
p15,2,Interviewer: Great so can you tell me about yourself? ,Interviewee: Um  okay so I'm a current junior at MIT. 
p15,2,Interviewer: Okay. ,Interviewee: I'm studying biological engineering. Um  so it's some  some of the things I do on campus. Um  I'm really involved in um  MIT Met Life. So I'm  I'm secretary of the club and I go to the meetings um  and um  part of my roles like help you know organize groups where um  poster sessions and information sessions. Just like spread the word of Met Life on campus um  and that's um  sort of helps me like explore like it has really gotten me more interested in a field of like healthcare. Um  that plus like my um  my studies.
p15,2,Interviewer: Mm-hm. ,Interviewee: Um  I'm also involved in Chinese student club escort culture. So I do a lot of you know pudding on campus for um  events like night market which I worked  I helped organize just last week.
p15,2,Interviewer: Oh okay. ,Interviewee: So um  it that sort of helps me with communication  my communication skills. You know talking to the officers of other student clubs. 
p15,3,Interviewer: Great. So tell me about a time you demonstrated leadership. ,Interviewee: Okay so um  last um  uh  this past summer I worked in a research lab in Bangkok and it was the first time that I had ever been outside of you know the United States for an extended period of time. 
p15,3,Interviewer: Mm-hm. ,Interviewee: And one of my assignments was to you know sort of lead uh  sort of like drive the direction of like a research project that they were doing  which was to research um  a generic um  in hopes of releasing it to the market. 
p15,3,Interviewer: Great. ,Interviewee: Um  sometime in the future. Because I had  I was partnered up with some a lab partner that was less experienced than I was um  I found myself in many situations having to help guide her along and getting up to speed with the project and the techniques that we needed to do our experiments. 
p15,3,Interviewer: Mm-hm. ,Interviewee: Um  it was  it was a little bit of a strange dynamic because she was older than me. Because she was an incoming graduate student  but she did not have much research like lab experience. So I had to balance like being informative without making it seem like this  like she was in some ways my superior. So that was like an um  I had  I had to like teach her the techniques you know coming off as like oh I know more than you do. 
p15,3,Interviewer: Mm-hm. ,Interviewee: Um  but what I found was what worked for both of us was that um I would like explain it to her before we were in the lab which helped cut down a lot of the frustration that came up if like she had to ask me questions like every  like between like every set. So that's um  that's probably the one way I showed leadership. 
p15,4,Interviewer: Great  okay. Tell me about a time you were working on a team and you faced a challenge and what you did to solve that problem. ,Interviewee: Okay so the  a couple um  IPs I worked for a start up um  they were a green billing research directory 
p15,4,Interviewer: Okay.,Interviewee: online. And I worked for my fellow exterior on helping to market this  the use of this directory to the clients. Um  so we had to  it was a little bit difficult because we had to like  we had to cold call like people and getting over the initial awkwardness of what it's like to talk to somebody you've never met or seen before and trying to like pitch an idea to them  and be like oh there's this really great resource and you've signed up for it. But we've noticed that you like hadn't used it. 
p15,4,Interviewer: Mm-hm.,Interviewee: Um  are there things that like you feel would make it better. Um  things that you would like to see that you think would make it more effective. 
p15,4,Interviewer: Mm-hm. ,Interviewee: And um  we both had to sort of like teach ourselves how to talk to like the  the reps that we're calling and we would um  strategize what worked  what didn't  what had people respond and what didn't  and-
p15,4,Interviewer: Mm-hm.,Interviewee: And by like documenting it all down also. So that we could leave like a record of what worked for maybe someone else was to found. So um  eventually we actually got like a system. Like a way we would structure the questions and ask them that word and like list like a couple response. 
p15,5,Interviewer: Great all right. Can you tell me one of your weaknesses and what you're doing to overcome it. ,Interviewee: Okay um  so something so a weakness that I found um  and I'm still like working to try to like overcome it is I tend to be long winded in explaining things. Um  it's hard for me to take something that I'm thinking about and communicating it um  concisely um  the first time around. 
p15,5,Interviewer: Mm-hm. ,Interviewee: Because I feel like I always leave something out after I finish saying it. So I tend to go back and elaborate. 
p15,5,Interviewer: Mm-hm. ,Interviewee: And then while I'm thinking about it still I'll like talk more about what's coming to mind. 
p15,5,Interviewer: Mm-hm. ,Interviewee: Um  it's something that I've been working on by siding it for things like this. 
p15,5,Interviewer: Mm-hm. ,Interviewee: And by trying to take up a more prominent role in like the  in like the clubs I'm in and like trying to you know participate more actively in the classes. Um  trying to as much as I can to go to um  lab presentations for my year off and speaking-
p15,5,Interviewer: Mm-hm.,Interviewee: In front of audiences to try to um  make myself less long winded and more precise. 
p15,6,Interviewer: Alright great and last question. Why do you think we should hire you? ,Interviewee: Um  I think that I can bring I don't know like something  different a new perspective to the table especially coming from MIT. Um  having had like a very quantitative background. 
p15,6,Interviewer: Mm-hm.,Interviewee: Um  and given that I've had like extensive experience um  in research um  and my leadership activities on campus  I think that I can bring both the technical skills and um  a way to effectively  hopefully communicate to um  communicate my ideas and bring like a different sort of perspective to your company. And I'm hardworking um  and I always wanna make sure I will do a good job and detail oriented  and um  I just love working with other people on like projects that excite me. So um  that's something that I come from [inaudible] that flatters me is working with people elaborating. And that's um  definitely a skill that I can bring to your company so thank you for your time. 
p16,1,Interviewer: Great  so how are you doing today?,Interviewee: Very good  how are you?
p16,2,Interviewer: Great  can you tell me a little bit about yourself? ,Interviewee: Yea  um so I am junior here at MIT ummm studying economics as well as urban planning and within those departments I am really trying to focus on international development. Ummm and because I am interested in either after school going in to either like public health or umm public policy type areas. But both focusing on international development. Ummm yea  that’s a little bit. I'm from right outside of Philadelphia  ummm and I am the uh  second youngest of 3.  
p16,3,Interviewer: Great  all right  so can you tell me about a time you demonstrated leadership.,Interviewee: Uh sure  ummm so currently I am actually the co president of an organization here on campus called club med (sp?). And we actually started last year  but last year it was founded by a different person  ummm although I was part of the like founding board  I guess you would say. Ummm and I guess last year  basically what happened was the person who founded it did it for her resume and she wasn't really invested in it. Umm and so basically last year was pretty much a flop  we did  we didn't accomplish much last year. So this year has been trying to start over ummm as well as trying to take what kind of we felt what was wrong last year and really try to fix those pieces. 
p16,3,Interviewer: That's great.,Interviewee: Yea.
p16,4,Interviewer: Tell me about a time you were working a team and faced a challenge  how did you solve that problem?,Interviewee: umm that is a good question  umm I think  so freshman year ummm I participated in a program here called terescope (sp?). And it’s a program that basically gives freshman a problem to solve. Ummm kind of like a world problem. And so you are just kind of left on your own to solve it. Umm and our problem was solving world hunger. So it is really like a problem that no one has actually solved. 
p16,5,Interviewer: Great  okay. Can you tell me one of your weaknesses and what you are doing to overcome it?,Interviewee: Ummm  hmmm  so let's think  so that is a good question. I think sometimes I have trouble working on a project when like  for example when I have too much time right. So umm for example this summer I was working in DC ummm and I felt like when I wasn't given an exact dead line I didn't necessarily like push myself to work to get it done  because it wasn't -- I didn't  have a dead line like I wasn’t sure when I needed it to get done so I was like oh  that’ fine  okay I can do it later. So I think one of my weaknesses I think it is pushing things off unless there is a deadline. So I really have been trying setting internal deadlines for myself. And trying to stick to those deadlines  and I think it is really hard  I think it is really hard when you have a lot of things to do to figure out how to prioritize and actually come through with the deadlines. And I think that is really important skill throughout life. So for example this week I have a lot of things due at the end of the week. So trying to get at least a certain amount done by Tuesday  and kind of like evaluating my progress throughout the week is something I have been trying to work on more. 
p16,6,Interviewer: Great  last question - Why do you think we should hire you?,Interviewee: Well  we will pretend this is the (inaudible) institute. I am really interested in studying the intersection on nutrition and health  ummm especially in the kind of evaluating project area. So recently I actually switched to economics  umm I was originally studying biology  but I felt that I could - that there is more to be done in economics in terms of helping people and I really would be excited to learn more about how food security and nutrition intersect. And I would be very committed and willing to work as much as you needed me to. 
p16,1,Interviewer: How are you doing today?,Interviewee: Doing well. How are you?
p16,2,Interviewer: Good! Alright  so  tell me about yourself.,Interviewee: Um  my name is Stephie. Um  I am a junior here at MIT. Um  and  see  I'm currently studying Computer Science  so  um. I'm a six three  um  and  I'm here hoping to  you know  get in touch  and um  see if there's any opportunity for me over at Google.
p16,3,Interviewer: Great! [inaudible] So  tell me about a time you demonstrated leadership.,Interviewee: Um  see... Hm  so last semester  um  I took a class in software constructions.
p16,3,Interviewer: Great.,Interviewee: So it's six double-o five here. And  um  throughout the semester we had  you know  many individual projects. But  also  two group projects. And  um  something I've noticed very much here at MIT is that people don't like to take initiative and so  um  you know my- we were doing out first group project  and um  you know  my- my partners were pretty cool. But no one seemed to want to arrange a time to meet up and actually get work done.
p16,3,Interviewer: Okay.,Interviewee: So I jumped in  and you know  shot- shot out a few emails. And made it work.
p16,4,Interviewer: Great. So  tell me about a time you were working on a team and faced a challenge. How did you solve that problem?,Interviewee: [laugh] How about that? Um  let's talk about that second group project in this class.
p16,4,Interviewer: Great.,Interviewee: Unfortunately  my  um  my group members in this  uh  for this project were not quite as awesome as the one before. Um  and  uh  for some reason  um  there were two guys  and  uh  they- they were overriding my code in the repository. So  um  they've completely disregarded any work I've done even after I'd emailed them and told them hey  you know  there are tools to help resolve conflicts in code-
p16,4,Interviewer: Mm-hm,Interviewee: -if we're both working on the same thing. And so eventually  I had to go to the TA and to the professor  went spoke to Ann Hunter. And they helped me resolve the situation. So  you know  sometimes you try your best in the situation and you really-- some things are out of your control. But  um  usually people you can go to.
p16,4,Interviewer: Great. I'm glad that worked out for you.,Interviewee: Thanks.
p16,5,Interviewer: So  can you tell me one of your weaknesses and what you're doing to overcome it.,Interviewee: Um  see... I- let's see  I- for the longest time  even when I was small  I've always been pretty quiet. 
p16,5,Interviewer: Okay.,Interviewee: So  um  and back in elementary school even. Uh  on my progress reports they would- they would just say Stephie is- is this sweet girl [laughs] and then  you know  I'd get a mediocre grade for participation  stuff like that. And so that's been an on going struggle for me  um  throughout my life. But  um  people really aren't as scary as  as sometimes I think they- they seem to be  so. It's been going well.
p16,5,Interviewer: Okay  good. What have you been doing specifically? ,Interviewee: Um  see  uh. Well  I've- I've taken classes with  um  with like  speaking components and presentations. Um  so it's  it's a way to get in- my feet into the water. But  um  it's been a good experience  so.
p16,6,Interviewer: Great. Okay  last question. Why do you think we should hire you?,Interviewee: Hmm  I think that I have a lot to offer. Um  my skill set is  pretty good? Um  you know I've- I've picked up a lot of skills here at MIT and also on my own  um  through research here at MIT.
p16,6,Interviewer: Mm-hm.,Interviewee: And  you know  I think  I can be a valuable asset to  to...
p17,1,Interviewer: How are you doing today?,Interviewee: Good. How are you?
p17,2,Interviewer: Good. So  tell me about yourself.,Interviewee: Um  so I'm a junior at MIT. I'm majoring in environmental engineering.
p17,2,Interviewer: Mmhmm,Interviewee: Um  and so I'm taking classes this semester in hydrology  environmental transport. Um  I've done internships previously with environmental restoration companies.
p17,2,Interviewer: Okay.,Interviewee: And I also participated in research last summer.
p17,2,Interviewer: Career goals?,Interviewee: Um  I'd like to go to Grad school after I graduate in Environmental Enginneering again.
p17,3,Interviewer: Great. So  tell me about a time you demonstrated leadership.,Interviewee: Um  so this semester I became President of the Women's Independent Living Group.
p17,3,Interviewer: Okay.,Interviewee: Um  after being House Manager last semester. So I've worked through a lot of problems within the house in trying to kind of get the right atmosphere in the house.
